Using custom data configuration default-5b3c177f7d7df740
All Flax model weights were used when initializing T5ForConditionalGeneration.

Some weights of T5ForConditionalGeneration were not initialized from the Flax model and are newly initialized: ['decoder.embed_tokens.weight', 'encoder.embed_tokens.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
***** Running training *****
  Num examples = 1814333
  Num Epochs = 10
  Instantaneous batch size per device = 4
  Total train batch size (w. parallel, distributed & accumulation) = 4
  Gradient Accumulation steps = 1
  Total optimization steps = 4535840
Downloading and preparing dataset csv/default to /home/sagawa/.cache/huggingface/datasets/csv/default-5b3c177f7d7df740/0.0.0/652c3096f041ee27b04d2232d41f10547a8fecda3e284a79a0ec4053c916ef7a...
Dataset csv downloaded and prepared to /home/sagawa/.cache/huggingface/datasets/csv/default-5b3c177f7d7df740/0.0.0/652c3096f041ee27b04d2232d41f10547a8fecda3e284a79a0ec4053c916ef7a. Subsequent calls will reuse this data.
{'loss': 0.7224, 'learning_rate': 1.9997795336696183e-05, 'epoch': 0.0}
{'loss': 0.389, 'learning_rate': 1.9995590673392363e-05, 'epoch': 0.0}
{'loss': 0.3474, 'learning_rate': 1.999338601008854e-05, 'epoch': 0.0}
{'loss': 0.3161, 'learning_rate': 1.9991181346784722e-05, 'epoch': 0.0}
{'loss': 0.2974, 'learning_rate': 1.99889766834809e-05, 'epoch': 0.01}
{'loss': 0.2844, 'learning_rate': 1.998677202017708e-05, 'epoch': 0.01}
{'loss': 0.2706, 'learning_rate': 1.9984567356873258e-05, 'epoch': 0.01}
{'loss': 0.2697, 'learning_rate': 1.998236269356944e-05, 'epoch': 0.01}
{'loss': 0.2609, 'learning_rate': 1.998015803026562e-05, 'epoch': 0.01}
{'loss': 0.2433, 'learning_rate': 1.99779533669618e-05, 'epoch': 0.01}
{'loss': 0.2428, 'learning_rate': 1.997574870365798e-05, 'epoch': 0.01}
{'loss': 0.2381, 'learning_rate': 1.997354404035416e-05, 'epoch': 0.01}
{'loss': 0.2388, 'learning_rate': 1.997133937705034e-05, 'epoch': 0.01}
{'loss': 0.2295, 'learning_rate': 1.9969134713746517e-05, 'epoch': 0.02}
{'loss': 0.2205, 'learning_rate': 1.9966930050442698e-05, 'epoch': 0.02}
{'loss': 0.2196, 'learning_rate': 1.9964725387138876e-05, 'epoch': 0.02}
{'loss': 0.2083, 'learning_rate': 1.9962520723835057e-05, 'epoch': 0.02}
{'loss': 0.2131, 'learning_rate': 1.9960316060531237e-05, 'epoch': 0.02}
{'loss': 0.2104, 'learning_rate': 1.995811139722742e-05, 'epoch': 0.02}
{'loss': 0.2011, 'learning_rate': 1.99559067339236e-05, 'epoch': 0.02}
{'loss': 0.2104, 'learning_rate': 1.9953702070619777e-05, 'epoch': 0.02}
{'loss': 0.21, 'learning_rate': 1.9951497407315958e-05, 'epoch': 0.02}
{'loss': 0.2001, 'learning_rate': 1.9949292744012135e-05, 'epoch': 0.03}
{'loss': 0.189, 'learning_rate': 1.9947088080708316e-05, 'epoch': 0.03}
{'loss': 0.1908, 'learning_rate': 1.9944883417404494e-05, 'epoch': 0.03}
{'loss': 0.1902, 'learning_rate': 1.9942678754100674e-05, 'epoch': 0.03}
{'loss': 0.1934, 'learning_rate': 1.9940474090796855e-05, 'epoch': 0.03}
{'loss': 0.1854, 'learning_rate': 1.9938269427493036e-05, 'epoch': 0.03}
{'loss': 0.1805, 'learning_rate': 1.9936064764189214e-05, 'epoch': 0.03}
{'loss': 0.1817, 'learning_rate': 1.9933860100885395e-05, 'epoch': 0.03}
{'loss': 0.1879, 'learning_rate': 1.9931655437581575e-05, 'epoch': 0.03}
{'loss': 0.1756, 'learning_rate': 1.9929450774277753e-05, 'epoch': 0.04}
{'loss': 0.1787, 'learning_rate': 1.9927246110973934e-05, 'epoch': 0.04}
{'loss': 0.1792, 'learning_rate': 1.992504144767011e-05, 'epoch': 0.04}
{'loss': 0.1771, 'learning_rate': 1.9922836784366292e-05, 'epoch': 0.04}
{'loss': 0.1771, 'learning_rate': 1.9920632121062473e-05, 'epoch': 0.04}
{'loss': 0.1753, 'learning_rate': 1.9918427457758654e-05, 'epoch': 0.04}
{'loss': 0.176, 'learning_rate': 1.991622279445483e-05, 'epoch': 0.04}
{'loss': 0.1745, 'learning_rate': 1.9914018131151012e-05, 'epoch': 0.04}
{'loss': 0.1743, 'learning_rate': 1.9911813467847193e-05, 'epoch': 0.04}
{'loss': 0.17, 'learning_rate': 1.990960880454337e-05, 'epoch': 0.05}
{'loss': 0.1719, 'learning_rate': 1.9907404141239552e-05, 'epoch': 0.05}
{'loss': 0.164, 'learning_rate': 1.990519947793573e-05, 'epoch': 0.05}
